,Time,Latitude,Longitude,CO2_2014_(ppm)
357,2014-09-09,-40,175,396.33536
358,2014-09-09,-40,175,396.22345
359,2014-09-09,-40,175,396.29004
360,2014-09-09,-40,175,395.72214
361,2014-09-09,-40,175,395.91565
362,2014-09-09,-40,175,396.13083
363,2014-09-09,-40,175,395.4319
364,2014-09-09,-39,175,396.23868
365,2014-09-09,-39,175,395.63544
366,2014-09-09,-40,175,396.8176
367,2014-09-09,-40,175,395.87585
368,2014-09-09,-39,175,396.71252
369,2014-09-09,-39,175,395.30856
370,2014-09-09,-39,175,396.06403
371,2014-09-09,-39,175,395.87057
372,2014-09-09,-39,175,395.88068
373,2014-09-09,-39,175,395.42303
374,2014-09-09,-39,175,395.55908
375,2014-09-09,-39,175,395.86877
376,2014-09-09,-39,175,395.9641
377,2014-09-09,-39,175,396.98584
378,2014-09-09,-39,175,395.34433
379,2014-09-09,-39,175,395.6671
380,2014-09-09,-39,175,396.6411
381,2014-09-09,-39,175,396.17084
382,2014-09-09,-39,175,394.921
383,2014-09-09,-39,175,395.46933
384,2014-09-09,-39,175,395.18906
385,2014-09-09,-39,175,395.69336
386,2014-09-09,-39,175,396.5037
387,2014-09-09,-39,175,396.35538
388,2014-09-09,-39,175,395.4134
389,2014-09-09,-39,175,395.60428
390,2014-09-09,-39,175,395.11383
391,2014-09-09,-39,175,394.38644
392,2014-09-09,-39,175,394.99283
393,2014-09-09,-39,175,395.17816
394,2014-09-09,-39,175,395.16602
395,2014-09-09,-39,175,396.486
396,2014-09-09,-39,175,395.45816
397,2014-09-09,-39,175,396.00958
398,2014-09-09,-39,175,394.6668
399,2014-09-09,-39,175,395.2588
400,2014-09-09,-39,175,395.33487
401,2014-09-09,-39,175,395.74924
402,2014-09-09,-39,174,395.61792
403,2014-09-09,-39,175,393.52438
404,2014-09-09,-39,175,395.89816
405,2014-09-09,-39,175,395.77176
406,2014-09-09,-39,175,395.54803
407,2014-09-09,-39,174,394.92487
408,2014-09-09,-39,175,395.5737
409,2014-09-09,-39,175,395.2175
410,2014-09-09,-39,175,394.55487
411,2014-09-09,-39,175,395.55145
412,2014-09-09,-39,174,394.96042
413,2014-09-09,-39,174,395.36957
414,2014-09-09,-39,175,395.56528
415,2014-09-09,-39,174,394.096
416,2014-09-09,-39,174,395.59454
417,2014-09-10,-44,169,399.5313
418,2014-09-10,-44,169,398.2896
419,2014-09-10,-44,169,399.25153
420,2014-09-10,-44,169,398.09503
421,2014-09-10,-44,169,398.187
422,2014-09-10,-44,169,396.82065
423,2014-09-10,-45,169,397.933
424,2014-09-10,-45,169,398.3026
425,2014-09-10,-45,169,397.42618
426,2014-09-10,-44,169,397.43747
427,2014-09-10,-45,169,397.23276
428,2014-09-10,-45,169,397.46375
429,2014-09-10,-44,169,397.11826
430,2014-09-10,-44,169,397.8983
431,2014-09-10,-45,169,397.1269
432,2014-09-10,-44,169,396.41544
433,2014-09-10,-44,169,398.32227
434,2014-09-10,-44,169,396.98953
435,2014-09-10,-44,169,398.86047
436,2014-09-10,-44,169,396.73517
437,2014-09-10,-44,169,397.95572
